iter	RMSE
0	0.3795088035
1	0.3707869992
2	0.3617560983
3	0.352778697844	0.34435313355	0.336429643566	0.3294508497	7	0.321553398	08	0.313847759	09	0.3068043810	10	0.3004824011	11	0.2939643512	12	0.2875775513	13	0.2820936414	14	0.2763305115	15	0.2712286716	16	0.2660350717	17	0.261123418	18	0.256682601919	0.2518697692020	0.247583056221	0.243128473
22	0.2385828089
23	0.2350026247
24	0.230903005
25	0.2279008431
26	0.2245463663
27	0.2212640622
28	0.2178447833
29	0.2143060048
30	0.2114181531
31	0.2082653294
32	0.2053900469
33	0.20222981
34	0.1997365375
35	0.1971876398
3636	0.19137071537	0.192129891
38	0.1897562695
39	0.1873856963
40	0.1851006151
4141	0.1803074944242	0.1784650984343	0.1767505724444	0.1746591174545	0.1729063244646	0.1709629554747	0.1691240084848	0.1676771594949	0.1658314285050	0.1642840475151	0.162753772552	0.1613347682553	0.1597661879554	0.1584892072555	0.1568951502556	0.155731647
57	0.1544500985
58	0.1531991891
59	0.1520248108
60	0.1511267847
61	0.1501084858
62	0.1490397611
63	0.1479195541
64	0.1469544378
65	0.1458329191
66	0.1449113147
67	0.1441718571
68	0.1431903634
69	0.1420527555
70	0.141194027
71	0.1402369095
72	0.1394922337
73	0.1385580222
74	0.1378276805
75	0.1369359547
76	0.1360349124
77	0.1351806555
78	0.1343823433
79	0.1336918997
80	0.1329536665
881	0.1340721882	82	0.1334106083	83	0.1326550784	84	0.1319801085	85	0.1312395886	86	0.130509487	087	0.129827288	088	0.129114289	089	0.128619290	090	0.127868491	091	0.127151892	092	0.126546393	093	0.125957194	094	0.125364995	095	0.124845496	096	0.12431797	0.97	0.12386598	0.98	0.12337299	0.99	0.12288100	0.100	0.12235101	0101	0.121709102	0102	0.12121103	0103	0.12083104	0.104	0.1203810498
105	0.1200054348
106	0.1196462887
107	0.1192744854
108	0.1188637953
109	0.1184980302
110	0.118218067
111	0.1176596032
112	0.1171374438
113	0.1166850774
114	0.1163758521
115	0.1160372806
116	0.1156135418
117	0.1155002795
118	0.1150631031
119	0.1147048821
120	0.1142760058
121	0.1139100715
122	0.1134337326
123	0.1130867461
124	0.1126910422
125	0.1124591156
126	0.111981036
127	0.1117499669
128	0.1115061097
129	0.1111938915
130	0.1108913056
131	0.1105792898
132	0.1102959665
133	0.110065624
134	0.1097599717
135	0.1094310642
136	0.1091788063
137	0.1088655797
138	0.1086352868
139	0.1082199024
140	0.1079397166
141	0.1076156983
142	0.1073053221
143	0.1070971037
144	0.1068235664
145	0.1067447737
146	0.1065486681
147	0.1062841628
148	0.1060658934
149	0.1058135
150	0.1056320525
151	0.1052896745
152	0.1049898679
153	0.1047324973
154	0.1045699526
155	0.1043179519
156	0.1041988101
157	0.1040282014
158	0.1037321809
159	0.1035531536
160	0.1032663898
161	0.1031180614
162	0.1030300586
163	0.102833908
164	0.1025914361
165	0.1022546393
166	0.1020793374
167	0.1018665382
168	0.1016371988
169	0.1014314764
170	0.1013486866
171	0.1010629449
172	0.1008260412
173	0.1005548102
174	0.1004409104
175	0.1001776874
176	0.099997554417177	0.099731126417178	0.09966901939
179	0.09945124405
180	0.09925907308
181	0.09914298359
182	0.09885864121
183	0.09866800841
184	0.09838987179
185	0.09822966892
186	0.09795480912
187	0.09785286111
188	0.09774244067
189	0.09745624453
190	0.09724100946
191	0.09700982388
192	0.09676429212
193	0.09652001792
194	0.09630502458
195	0.09615295586
196	0.09595961135
197	0.09585666294
198	0.09566257786
199	0.09553652200	200	0.09535715201	201	0.09513668202	202	0.09504089203	203	0.09493754204	204	0.09471712205	205	0.09466438206	206	0.09458637263
207	0.0943202769
208	0.0942622656
209	0.09402246075
210	0.09381274521
211	0.093702205
212	0.0936440338
213	0.09334365479
214	0.09310618085
215	0.09303072538
216	0.0929595123
217	0.0928617358
218	0.09263209862
219	0.09244030584
220	0.092366187
221	0.09228567544
222	0.09201210661
223	0.09172576983
224	0.09163307261
225	0.09150044415
226	0.09129615369
227	0.09101479578
228	0.09090844301
229	0.09069351568
230	0.09043943567
231	0.09027308824
232	0.09008949394
233	0.08983630828
234	0.08966018012
235	0.08945569085
236	0.089363524
237	0.08925237167
238	0.08904428013
239	0.0887730197
240	0.08860707655
241	0.0883326855
242	0.08819143543
243	0.08796560924
244	0.08787883756
245	0.08767178648
246	0.08760869478
247	0.08753976349
248	0.08748795274
249	0.08734389525
250	0.08713913954
251	0.08696225925
252	0.08681338759
253	0.08660800125
254	0.08650547173
255	0.08646896894
256	0.08627148813
257	0.0861540363
258	0.08596299454
259	0.08580742336
260	0.08565331366
261	0.08558921275
262	0.08552190918
263	0.08546856366
264	0.08535790101
265	0.0851434415
266	0.0849208125
267	0.08474894912
268	0.08459774833
269	0.08446963842
270	0.08428568675
271	0.08412220131
272	0.08405831662
273	0.08402244659
274	0.08385852261
275	0.0836398063
276	0.08351545286
277	0.08340921201
278	0.08324473563
279	0.08302156361
280	0.08280123423
281	0.08269025695
282	0.08257283201
283	0.08241736846
284	0.08237397802
285	0.08232763219
286	0.08214123506
287	0.08203195712
288	0.08186265228
289	0.08173822284
290	0.08164953909
291	0.08157622049
292	0.08148299244
293	0.08125003442
294	0.08111441814
295	0.08105444122
296	0.08086655997
297	0.08083898377
298	0.08071289448
299	0.08053982005
300	0.080424988
301	0.08030857516
302	0.08006898046
303	0.07999086093
304	0.07987796644
305	0.07984756903
306	0.07974525751
307	0.0797182342
308	0.0796347791
309	0.07954509662
310	0.07939176736
311	0.07919293335
312	0.07906074328
313	0.07889751036
314	0.07881597773
315	0.07868630266
316	0.07864376463
317	0.07856152659
318	0.07847132433
319	0.07831365345
320	0.07818770896
321	0.07800906213
322	0.07791731939
323	0.07783377528
324	0.07764834736
325	0.07755815655
326	0.07741026603
327	0.07732661988
328	0.07722955347
329	0.07711734027
330	0.07704182325
331	0.07676198196
332	0.07657666471
333	0.07649238384
334	0.07633884235
335	0.07621810944
336	0.07612729329
337	0.07608669768
338	0.07594048269
339	0.07578269343
340	0.07571532035
341	0.07569144531
342	0.07566431831
343	0.07563617248
344	0.07554868259
345	0.07536994538
346	0.07516356274
347	0.07505733801
348	0.07491806497
349	0.07474073227
350	0.07462742744
351	0.07443507432
352	0.07428630042
353	0.07410349219
354	0.07395554256
355	0.07385838018
356	0.07371232402
357	0.07362181021
358	0.07351586965
359	0.0734947807
360	0.0734096174
361	0.07334404007
362	0.0732108067
363	0.07309209001
364	0.07307160017
365	0.07305157673
366	0.07293012498
367	0.07279446755
368	0.07263312092
369	0.0724726182
370	0.07230900337
371	0.07227391161
372	0.07216661345
373	0.07205779886
374	0.07190295324
375	0.07177097074
376	0.07162518911
377	0.07148665736
378	0.07143421863
379	0.07132752539
380	0.07117053269
381	0.07104367368
382	0.07100815441
383	0.07088929939
384	0.0707611058
385	0.0706854753
386	0.07058058046
387	0.07044820726
388	0.07031799875
389	0.07017616141
390	0.07014537126
391	0.06991441494
392	0.0697917902
393	0.06976421077
394	0.06963620034
395	0.06954700865
396	0.06945805952
397	0.06936424084
398	0.06919501857
399	0.06907093842
400	0.06897534396
401	0.06887667615
402	0.06884398881
403	0.06875064557
404	0.06872220395
405	0.06862372109
406	0.06847716976
407	0.06836890354
408	0.06827079594
409	0.06825418934
410	0.06813346616
411	0.06804996906
412	0.067951601
413	0.06792575575
414	0.06773545274
415	0.06766872706
416	0.06757111405
417	0.06746485436
418	0.06732396749
419	0.06717331236
420	0.06709695384
421	0.0670406147
422	0.06690809034
423	0.06677172938
424	0.06667964163
425	0.06662360733
426	0.06649109447
427	0.06638258542
428	0.06629485091
429	0.0661771777
430	0.06606813787
431	0.06593474976
432	0.06585159042
433	0.06582830797
434	0.06576239841
435	0.0656619654
436	0.06555241625
437	0.06544166306
438	0.06532286798
439	0.06530501123
440	0.06520819887
441	0.06510815869
442	0.06505109437
443	0.06489612326
444	0.06478368617
445	0.06463257387
446	0.06460862601
447	0.06449273057
448	0.06436319655
449	0.06419381819
450	0.06409733887
451	0.06402507742
452	0.0639097479
453	0.06381639029
454	0.06370875145
455	0.06361033859
456	0.06347938604
457	0.06339153538
458	0.06336441847
459	0.06326432059
460	0.06315780839
461	0.0631411733
462	0.06298838591
463	0.06292319441
464	0.06274894375
465	0.0626762421
466	0.06259515436
467	0.06253898254
468	0.0624214909
469	0.06230981071
470	0.06223344729
471	0.06221992124
472	0.06208989
473	0.06201402909
474	0.06192567077
475	0.06177335265
476	0.06165818273
477	0.06153725502
478	0.0614205969
479	0.06138919425
480	0.0612831183
481	0.0612628601
482	0.06114597416
483	0.06105127271
484	0.06101446404
485	0.06080962854
486	0.06070279211
487	0.06059452356
488	0.06045242042
489	0.06039110368
490	0.06035883488
491	0.06027075211
492	0.06006529806
493	0.06004730444
494	0.0599639471
495	0.05989612363
496	0.05983201791
497	0.05972198424
498	0.05965825357
499	0.05954735173
500	0.05945995223
501	0.05944267442
502	0.05937724873
