iter	Passed	Remaining
400	17876	26703
401	17935	26680
402	17989	26649
403	18052	26631
404	18093	26581
405	18168	26580
406	18198	26515
407	18369	26653
408	18411	26604
409	18467	26575
410	18499	26511
411	18549	26473
412	18581	26410
413	18628	26367
414	18693	26350
415	18748	26320
416	18822	26315
417	18899	26314
418	18953	26282
419	18992	26228
420	19022	26161
421	19066	26115
422	19100	26054
423	19134	25993
424	19175	25942
425	19233	25915
426	19263	25849
427	19298	25791
428	19343	25746
429	19418	25740
430	19497	25740
431	19525	25671
432	19548	25598
433	19596	25556
434	19708	25598
435	19772	25577
436	19829	25546
437	19884	25513
438	19947	25491
439	19996	25450
440	20072	25442
441	20121	25402
442	20172	25363
443	20234	25338
444	20276	25288
445	20319	25239
446	20411	25252
447	20494	25252
448	20547	25214
449	20603	25182
450	20642	25128
451	20693	25089
452	20771	25081
453	20822	25042
454	20890	25023
455	20957	25001
456	20993	249444457	21027	248834458	21080	24846
459	21157	24836
460	21212	248014461	21309	24814
462	21359	24773
463	21427	24752
464	21463	246944465	21506	246444466	21615	24670
467	21670	24634
468	21721	24592
469	21768	24546
470	21809	24494
471	21870	24465
472	21998	24510
473	22048	244664474	22098	244244475	22167	244024476	22236	243804477	22286	243384478	22332	242904479	22418	242864480	22449	242234481	22485	241654482	22554	241424483	22595	240894484	22668	240704485	22703	24011485	23149	24483
486	23203	24442
487	23266	24411
488	23323	24372
489	23398	24353
490	23468	24328
491	23580	24347
492	23636	24307
4494	23315	23786494	23789	24269
495	23821	24205
496	23872	24160
497	23939	24131
498	23985	24081
499	24061	24061
500	24124	24028
501	24163	23971
502	24215	23926
503	24264	23878
504	24321	23839
505	24386	23808
506	24445	23770
507	24573	23800
508	24644	23772
509	24680	23712
510	24748	23683
511	24831	23667
512	24888	23627
513	24944	23585
514	25004	23548
515	25066	23511
516	25107	23455
517	25155	23406
518	25213	23367
519	25317	23370
520	25436	23386
521	25604	23446
522	25639	23384
523	25758	23399
524	25800	23343
525	25855	23299
526	25941	23282
527	25999	23242
528	26107	23245
529	26173	23210
530	26223	23161
531	26297	23133
532	26353	23090
533	26385	23025
534	26542	23069
535	26635	23057
536	26696	23017
537	26740	22963
538	26792	22914
539	26851	22873
540	26900	22822
541	26960	22781
542	27007	22730
543	27042	22668
544	27075	22604
545	27142	22568
546	27191	22518
547	27250	22476
548	27280	22410
549	27357	22383
550	27408	22334
551	27448	22277
552	27510	22237
553	27588	22209
554	27647	22167
555	27714	22131
556	27756	22075
557	27824	22040
558	27875	21990
559	27944	21956
560	27996	21908
561	28055	21864
562	28115	21822
563	28202	21802
564	28287	21778
565	28336	21727
566	28444	21721
567	28504	21679
568	28562	21634
569	28619	21590
